STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,icha11_hc,Classification of health care functions - SHA 2011,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BE,Belgium,2016,,3570.8,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BE,Belgium,2017,,3656.97,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BE,Belgium,2018,,3773.38,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BE,Belgium,2019,,3868.81,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BE,Belgium,2020,,3965.51,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BE,Belgium,2021,,4204.69,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BE,Belgium,2022,,4335.65,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BE,Belgium,2023,,4569.83,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BG,Bulgaria,2013,,471.87,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BG,Bulgaria,2014,,538.11,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BG,Bulgaria,2015,,553.04,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BG,Bulgaria,2016,,598.27,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BG,Bulgaria,2017,,634.01,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BG,Bulgaria,2018,,659.67,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BG,Bulgaria,2019,,682.09,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BG,Bulgaria,2020,,795.35,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BG,Bulgaria,2021,,931.82,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BG,Bulgaria,2022,,956.83,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),BG,Bulgaria,2023,,1065.79,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),CH,Switzerland,2013,,4361.83,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),CH,Switzerland,2014,,4483.52,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),CH,Switzerland,2015,,4670.67,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),CH,Switzerland,2016,,4726.03,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),CH,Switzerland,2017,,4728.6,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),CH,Switzerland,2018,,4769.95,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),CH,Switzerland,2019,,4896.53,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),CH,Switzerland,2020,,4957.17,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),CH,Switzerland,2021,,5383.66,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),CH,Switzerland,2022,,5706.24,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),CH,Switzerland,2023,,5921.61,,,,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),CH,Switzerland,2024,,6140.46,,p,provisional,,
dataflow,ESTAT:TPS00207(1.0),Total health care expenditure,A,Annual,PPS_HAB,Purchasing power standard (PPS) per inhabitant,TOT_HC,Current health care expenditure (CHE),CY,Cyprus,2013,,1478.4,,,,,
